,pair,final_pnl,num_trades,win_rate,avg_trade,sharpe_ratio,max_drawdown,profit_factor
AAPL-MSFT,AAPL-MSFT,-1473759.1186523438,28,0.39285714285714285,-52532.46852329799,0.7985494643901662,-5529718.133544922,0.8188749928835192
GOOGL-AMZN,GOOGL-AMZN,3883711.395263672,25,0.68,155448.45581054688,0,-1225164.306640625,3.191868150593565
JPM-BAC,JPM-BAC,-1004500.4981994629,31,0.5161290322580645,-32301.628974176223,0,-2214726.8676757812,0.6893524423058056
