date,realized_pnl,unrealized_pnl,total_pnl,position,spread,z_score
2023-02-01,0.0,0.0,0.0,0,97.67620086669922,-0.08626020184237444
2023-02-02,0.0,0.0,0.0,0,96.86891555786133,-0.6726536362264601
2023-02-03,0.0,0.0,0.0,0,98.60995864868164,0.39920833057320504
2023-02-06,0.0,0.0,0.0,0,99.44636154174805,0.9078816317523544
2023-02-07,-50.0,-0.0,-50.0,-1,100.69908905029297,1.5614544181696435
2023-02-08,-50.0,34866.14227294922,34816.14227294922,-1,100.00176620483398,1.0244236648111165
2023-02-09,102683.77532958984,0.0,102683.77532958984,0,98.64341354370117,0.18175766479866573
2023-02-10,102683.77532958984,0.0,102683.77532958984,0,99.35708999633789,0.6184099476287401
2023-02-13,102633.77532958984,-0.0,102633.77532958984,-1,100.73013687133789,1.5885064508546796
2023-02-14,102633.77532958984,-31016.73126220703,71617.04406738281,-1,101.35047149658203,1.8394615267505023
2023-02-15,102633.77532958984,-62024.11651611328,40609.65881347656,-1,101.97061920166016,1.8971870376940765
2023-02-16,102633.77532958984,17971.420288085938,120605.19561767578,-1,100.37070846557617,0.9051703477442817
2023-02-17,102633.77532958984,1497.2686767578125,104131.04400634766,-1,100.70019149780273,1.060005476639616
2023-02-21,187999.23400878906,0.0,187999.23400878906,0,99.0218276977539,-0.1735216583068092
2023-02-22,187999.23400878906,0.0,187999.23400878906,0,98.23077011108398,-0.7764000090964902
2023-02-23,187999.23400878906,0.0,187999.23400878906,0,99.30238723754883,-0.02178262725334036
2023-02-24,187999.23400878906,0.0,187999.23400878906,0,100.5336856842041,0.8259634901093513
2023-02-27,187999.23400878906,0.0,187999.23400878906,0,101.69007301330566,1.4908528508678012
2023-02-28,187949.23400878906,-0.0,187949.23400878906,-1,102.72476196289062,1.9104459387280206
2023-03-01,187949.23400878906,30131.053924560547,218080.2879333496,-1,102.12214088439941,1.3520626912718592
2023-03-02,187949.23400878906,79483.5090637207,267432.74307250977,-1,101.13509178161621,0.6456788416367085
2023-03-03,187949.23400878906,-10761.833190917969,177187.4008178711,-1,102.93999862670898,1.767489717569498
2023-03-06,187949.23400878906,25432.01446533203,213381.2484741211,-1,102.21612167358398,1.1355906369788318
2023-03-07,187949.23400878906,171614.07470703125,359563.3087158203,-1,99.29248046875,-0.9859841494649215
2023-03-08,187949.23400878906,189473.81973266602,377423.0537414551,-1,98.9352855682373,-1.138006523305038
2023-03-09,187949.23400878906,445175.9338378906,633125.1678466797,-1,93.82124328613281,-3.0943363906980803
2023-03-10,187949.23400878906,276886.08169555664,464835.3157043457,-1,97.18704032897949,-1.3849283125132161
2023-03-13,187949.23400878906,306951.6181945801,494900.85220336914,-1,96.58572959899902,-1.501774310491145
2023-03-14,348188.4262084961,0.0,348188.4262084961,0,99.51897811889648,-0.20160583576435387
2023-03-15,348138.4262084961,0.0,348138.4262084961,1,93.7934741973877,-2.1881661320240156
2023-03-16,348138.4262084961,94480.3237915039,442618.75,1,95.68308067321777,-1.3203626448502692
2023-03-17,348138.4262084961,-83667.08755493164,264471.33865356445,1,92.12013244628906,-2.1445835052985993
2023-03-20,348138.4262084961,-17855.072021484375,330283.3541870117,1,93.43637275695801,-1.5191890462709334
2023-03-21,348138.4262084961,102945.99533081055,451084.42153930664,1,95.8523941040039,-0.7380821745578588
2023-03-22,348138.4262084961,-10803.508758544922,337334.9174499512,1,93.5774040222168,-1.2781245398165255
2023-03-23,348138.4262084961,4715.538024902344,352853.96423339844,1,93.88778495788574,-1.0813282220049698
2023-03-24,348138.4262084961,-94001.1978149414,254137.2283935547,1,91.91345024108887,-1.4353240734243222
2023-03-27,348138.4262084961,10811.614990234375,358950.04119873047,1,94.00970649719238,-0.8028011459383443
2023-03-28,348138.4262084961,46542.26303100586,394680.68923950195,1,94.72431945800781,-0.5382263647684993
2023-03-29,348138.4262084961,32903.099060058594,381041.5252685547,1,94.45153617858887,-0.5398150084551916
2023-03-30,348138.4262084961,31966.686248779297,380105.1124572754,1,94.43280792236328,-0.471081335610712
2023-03-31,439281.43463134766,0.0,439281.43463134766,0,95.61733436584473,0.02400151031486085
2023-04-03,439281.43463134766,0.0,439281.43463134766,0,95.4857406616211,0.12341228530421161
2023-04-04,439281.43463134766,0.0,439281.43463134766,0,94.42347717285156,-0.2795475361849367
2023-04-05,439281.43463134766,0.0,439281.43463134766,0,94.92324447631836,0.08726089877412248
2023-04-06,439281.43463134766,0.0,439281.43463134766,0,94.6025161743164,-0.121655938086364
2023-04-10,439281.43463134766,0.0,439281.43463134766,0,94.90642166137695,0.1288119170121289
2023-04-11,439281.43463134766,0.0,439281.43463134766,0,94.77930641174316,0.11032826571703704
2023-04-12,439281.43463134766,0.0,439281.43463134766,0,94.97664642333984,0.56319807044023
2023-04-13,439281.43463134766,0.0,439281.43463134766,0,95.36569786071777,0.8462189657632277
2023-04-14,439231.43463134766,-0.0,439231.43463134766,-1,103.69193077087402,3.8050498090851694
2023-04-17,427033.53118896484,0.0,427033.53118896484,0,103.93488883972168,2.834373679660541
2023-04-18,426983.53118896484,-0.0,426983.53118896484,-1,105.24386596679688,2.5114188131856037
2023-04-19,426983.53118896484,-14981.746673583984,412001.78451538086,-1,105.54350090026855,2.1296160394712818
2023-04-20,426983.53118896484,-3079.986572265625,423903.5446166992,-1,105.30546569824219,1.7808118706310838
2023-04-21,426983.53118896484,8301.734924316406,435285.26611328125,-1,105.07783126831055,1.5235373534415415
2023-04-24,426983.53118896484,-5871.486663818359,421112.0445251465,-1,105.36129570007324,1.4170315367097144
2023-04-25,426983.53118896484,95844.07806396484,522827.6092529297,-1,103.32698440551758,0.910558807719264
2023-04-26,426983.53118896484,192636.1083984375,619619.6395874023,-1,101.39114379882812,0.4592984231443346
2023-04-27,426983.53118896484,127568.14956665039,554551.6807556152,-1,102.69250297546387,0.6501029690749763
2023-04-28,426983.53118896484,89527.98843383789,516511.51962280273,-1,103.45330619812012,0.7267660234154493
2023-05-01,426983.53118896484,-61992.16842651367,364991.3627624512,-1,106.48370933532715,1.2270796550531
2023-05-02,426983.53118896484,4650.306701660156,431633.837890625,-1,105.15085983276367,0.8604820948479185
2023-05-03,556767.5155639648,0.0,556767.5155639648,0,102.64718627929688,0.2654846885318395
2023-05-04,556767.5155639648,0.0,556767.5155639648,0,101.70290756225586,-0.018504637861626642
2023-05-05,556767.5155639648,0.0,556767.5155639648,0,103.50839424133301,0.3258759925942871
2023-05-08,556767.5155639648,0.0,556767.5155639648,0,103.83989906311035,0.3289715674828985
2023-05-09,556767.5155639648,0.0,556767.5155639648,0,103.24275970458984,0.04827509869797682
2023-05-10,556767.5155639648,0.0,556767.5155639648,0,103.62874984741211,0.04241739135777567
2023-05-11,556767.5155639648,0.0,556767.5155639648,0,103.15553283691406,-0.5693536983472364
2023-05-12,556717.5155639648,0.0,556717.5155639648,1,101.58994674682617,-1.545872121612976
2023-05-15,556717.5155639648,27204.132080078125,583921.647644043,1,102.13402938842773,-1.0697230910546458
2023-05-16,556717.5155639648,-2273.273468017578,554444.2420959473,1,101.54448127746582,-1.314704174576519
2023-05-17,556717.5155639648,136501.97982788086,693219.4953918457,1,104.31998634338379,0.578615191626751
2023-05-18,556717.5155639648,190948.86779785156,747666.3833618164,1,105.4089241027832,1.3169094037529026
2023-05-19,556717.5155639648,192714.21432495117,749431.729888916,1,105.4442310333252,1.3078299254177097
2023-05-22,556717.5155639648,127416.9921875,684134.5077514648,1,104.13828659057617,0.4884896735763983
2023-05-23,556717.5155639648,47910.69030761719,604628.205871582,1,102.54816055297852,-0.591240159482009
2023-05-24,556717.5155639648,11257.83920288086,567975.3547668457,1,101.81510353088379,-1.1362267684089984
2023-05-25,556717.5155639648,23601.341247558594,580318.8568115234,1,102.06197357177734,-0.9237911379829131
2023-05-26,633854.6722412109,0.0,633854.6722412109,0,103.1336898803711,-0.16757875924211257
2023-05-30,633854.6722412109,0.0,633854.6722412109,0,103.67343330383301,0.35287204117345894
2023-05-31,633854.6722412109,0.0,633854.6722412109,0,102.45719718933105,-0.549531858953527
2023-06-01,633854.6722412109,0.0,633854.6722412109,0,104.03004264831543,0.7286140342767413
2023-06-02,633804.6722412109,-0.0,633804.6722412109,-1,105.88688850402832,1.9671284768138562
2023-06-05,633804.6722412109,57324.12338256836,691128.7956237793,-1,104.74040603637695,0.9919792018697084
2023-06-06,633804.6722412109,78180.78994750977,711985.4621887207,-1,104.32327270507812,0.6494012776993664
2023-06-07,633804.6722412109,26070.404052734375,659875.0762939453,-1,105.36548042297363,1.2933322485926613
2023-06-08,633804.6722412109,12326.908111572266,646131.5803527832,-1,105.64035034179688,1.3458683487375986
