date,action,spread,z_score,cost,trade_pnl,total_pnl
2023-02-07,SHORT_ENTRY,100.69908905029297,1.5614544181696435,50.0,,
2023-02-09,MEAN_REVERSION_EXIT,98.64341354370117,0.18175766479866573,50.0,102783.77532958984,102683.77532958984
2023-02-13,SHORT_ENTRY,100.73013687133789,1.5885064508546796,50.0,,
2023-02-21,MEAN_REVERSION_EXIT,99.0218276977539,-0.1735216583068092,50.0,85415.45867919922,187999.23400878906
2023-02-28,SHORT_ENTRY,102.72476196289062,1.9104459387280206,50.0,,
2023-03-14,MEAN_REVERSION_EXIT,99.51897811889648,-0.20160583576435387,50.0,160289.19219970703,348188.4262084961
2023-03-15,LONG_ENTRY,93.7934741973877,-2.1881661320240156,50.0,,
2023-03-31,MEAN_REVERSION_EXIT,95.61733436584473,0.02400151031486085,50.0,91193.00842285156,439281.43463134766
2023-04-14,SHORT_ENTRY,103.69193077087402,3.8050498090851694,50.0,,
2023-04-17,STOP_LOSS_EXIT,103.93488883972168,2.834373679660541,50.0,-12147.903442382812,427033.53118896484
2023-04-18,SHORT_ENTRY,105.24386596679688,2.5114188131856037,50.0,,
2023-05-03,MEAN_REVERSION_EXIT,102.64718627929688,0.2654846885318395,50.0,129833.984375,556767.5155639648
2023-05-12,LONG_ENTRY,101.58994674682617,-1.545872121612976,50.0,,
2023-05-26,MEAN_REVERSION_EXIT,103.1336898803711,-0.16757875924211257,50.0,77187.1566772461,633854.6722412109
2023-06-02,SHORT_ENTRY,105.88688850402832,1.9671284768138562,50.0,,
2023-06-22,MEAN_REVERSION_EXIT,105.75447845458984,0.2558296368439794,50.0,6620.502471923828,640375.1747131348
2023-06-29,SHORT_ENTRY,108.73900032043457,2.0078401019302268,50.0,,
2023-06-30,STOP_LOSS_EXIT,110.6151180267334,2.649752740096537,50.0,-93805.8853149414,546469.2893981934
2023-07-03,SHORT_ENTRY,111.24028968811035,2.384814370473457,50.0,,
2023-07-17,STOP_LOSS_EXIT,118.46363258361816,2.283155161934557,50.0,-361167.1447753906,185202.14462280273
2023-07-18,SHORT_ENTRY,117.4985294342041,1.7454812028878761,50.0,,
2023-09-22,MEAN_REVERSION_EXIT,112.6151180267334,-0.10279963295980452,50.0,244170.57037353516,429272.7149963379
2023-10-13,SHORT_ENTRY,116.66374015808105,2.327867333445213,50.0,,
2023-10-19,MEAN_REVERSION_EXIT,113.86806678771973,0.13144942894403755,50.0,139783.6685180664,568956.3835144043
2023-10-23,LONG_ENTRY,111.07351303100586,-1.5361546504754575,50.0,,
2023-10-27,STOP_LOSS_EXIT,106.35251998901367,-2.688945058614272,50.0,-236049.65209960938,332806.7314147949
2023-10-30,LONG_ENTRY,107.5181655883789,-1.909792654193646,50.0,,
2023-11-06,MEAN_REVERSION_EXIT,111.395751953125,-0.14964606123717802,50.0,193879.3182373047,526586.0496520996
2023-11-15,SHORT_ENTRY,115.60252952575684,1.7459541517228103,50.0,,
2023-12-19,STOP_LOSS_EXIT,129.61083221435547,2.3569097631221614,50.0,-700415.1344299316,-173929.08477783203
2023-12-20,SHORT_ENTRY,128.2953758239746,1.6960988383899507,50.0,,
2024-01-16,MEAN_REVERSION_EXIT,131.50340843200684,0.2829138143192063,50.0,-160401.63040161133,-334430.71517944336
2024-01-25,SHORT_ENTRY,135.06658554077148,2.256911065317914,50.0,,
2024-01-30,STOP_LOSS_EXIT,136.93795776367188,2.727913978609522,50.0,-93568.61114501953,-428099.3263244629
2024-01-31,SHORT_ENTRY,135.84243774414062,1.6905512585992772,50.0,,
2024-02-15,STOP_LOSS_EXIT,141.11283111572266,2.310270754516049,50.0,-263519.66857910156,-691718.9949035645
2024-02-16,SHORT_ENTRY,140.2812843322754,1.689133330698584,50.0,,
2024-02-22,STOP_LOSS_EXIT,144.65044403076172,2.4974634303900487,50.0,-218457.9849243164,-910276.9798278809
2024-02-23,SHORT_ENTRY,145.2414321899414,2.2240205125195427,50.0,,
2024-03-20,STOP_LOSS_EXIT,154.1984748840332,2.3866319210652973,50.0,-447852.13470458984,-1358229.1145324707
2024-03-21,SHORT_ENTRY,156.10107803344727,2.447508472197909,50.0,,
2024-04-10,MEAN_REVERSION_EXIT,154.56645584106445,0.2376525832867066,50.0,76731.10961914062,-1281598.00491333
2024-04-12,LONG_ENTRY,143.0676155090332,-3.4265020270414284,50.0,,
2024-04-15,STOP_LOSS_EXIT,143.00968170166016,-2.7119983493378683,50.0,-2896.6903686523438,-1284594.6952819824
2024-04-16,LONG_ENTRY,142.208984375,-2.3528994180511766,50.0,,
2024-04-23,MEAN_REVERSION_EXIT,149.65882873535156,-0.2106391176557672,50.0,372492.2180175781,-912202.4772644043
2024-05-09,SHORT_ENTRY,154.95955657958984,1.5593706015968045,50.0,,
2024-05-20,MEAN_REVERSION_EXIT,152.56816864013672,-0.206943317886526,50.0,119569.39697265625,-792733.080291748
2024-06-11,LONG_ENTRY,151.11343002319336,-1.875860175361286,50.0,,
2024-06-12,STOP_LOSS_EXIT,147.82397842407227,-2.489008843796298,50.0,-164472.5799560547,-957305.6602478027
2024-06-13,LONG_ENTRY,150.04215240478516,-1.5541730164835235,50.0,,
2024-06-20,MEAN_REVERSION_EXIT,154.20257949829102,0.12248748349910007,50.0,208021.35467529297,-749384.3055725098
2024-06-28,SHORT_ENTRY,157.90912246704102,1.5321740034147389,50.0,,
2024-07-01,STOP_LOSS_EXIT,160.77760696411133,2.307010119158414,50.0,-143424.22485351562,-892908.5304260254
2024-07-02,SHORT_ENTRY,163.1671485900879,2.528733026048394,50.0,,
2024-07-24,MEAN_REVERSION_EXIT,162.82806777954102,0.22636345135454597,50.0,16954.04052734375,-876054.4898986816
2024-07-26,SHORT_ENTRY,166.90546798706055,1.5252266758227802,50.0,,
2024-07-30,STOP_LOSS_EXIT,170.17134857177734,2.3696664045103883,50.0,-163294.02923583984,-1039448.5191345215
2024-07-31,SHORT_ENTRY,168.7806510925293,1.606168917920075,50.0,,
2024-08-01,MEAN_REVERSION_EXIT,164.83756637573242,0.17521137317364865,50.0,197154.23583984375,-842394.2832946777
2024-08-02,LONG_ENTRY,158.0853385925293,-2.0115650021278557,50.0,,
2024-08-05,STOP_LOSS_EXIT,154.8462142944336,-2.4880252254848196,50.0,-161956.21490478516,-1004450.4981994629
2024-08-16,SHORT_ENTRY,170.87173080444336,1.5790392141645833,50.0,,
