date,realized_pnl,unrealized_pnl,total_pnl,position,spread,z_score
2023-02-01,0.0,0.0,0.0,0,-5.3187255859375,-1.1052255899252341
2023-02-02,0.0,0.0,0.0,0,-5.812309265136719,-1.1744901034849162
2023-02-03,0.0,0.0,0.0,0,0.7653427124023438,1.2985564322991192
2023-02-06,0.0,0.0,0.0,0,0.1065521240234375,1.0757918464591127
2023-02-07,-50.0,-0.0,-50.0,-1,4.8882904052734375,2.4124321961106743
2023-02-08,-50.0,308034.5153808594,307984.5153808594,-1,-1.27239990234375,0.37086681183560505
2023-02-09,-50.0,434235.00061035156,434185.00061035156,-1,-3.7964096069335938,-0.4642229607669384
2023-02-10,-50.0,424603.65295410156,424553.65295410156,-1,-3.6037826538085938,-0.423255051294917
2023-02-13,-50.0,519115.82946777344,519065.82946777344,-1,-5.494026184082031,-1.0953623524585003
2023-02-14,-50.0,523636.24572753906,523586.24572753906,-1,-5.584434509277344,-1.1153804277712889
2023-02-15,-50.0,484310.1501464844,484260.1501464844,-1,-4.79791259765625,-0.8513732471615785
2023-02-16,404784.33837890625,0.0,404784.33837890625,0,-3.2093963623046875,-0.2784073859536515
2023-02-17,404784.33837890625,0.0,404784.33837890625,0,-3.4124755859375,-0.2918781450296198
2023-02-21,404784.33837890625,0.0,404784.33837890625,0,-3.3372116088867188,-0.19053927894390105
2023-02-22,404784.33837890625,0.0,404784.33837890625,0,-4.686378479003906,-0.6122306081043745
2023-02-23,404784.33837890625,0.0,404784.33837890625,0,-5.4718475341796875,-0.8419110485949669
2023-02-24,404784.33837890625,0.0,404784.33837890625,0,-4.9013519287109375,-0.5738143002414314
2023-02-27,404784.33837890625,0.0,404784.33837890625,0,-4.4257659912109375,-0.375655436295552
2023-02-28,404784.33837890625,0.0,404784.33837890625,0,-4.706901550292969,-0.4693034214146345
2023-03-01,404784.33837890625,0.0,404784.33837890625,0,-2.34869384765625,0.3638719346076544
2023-03-02,404784.33837890625,0.0,404784.33837890625,0,-0.6784591674804688,0.8958086671838538
2023-03-03,404784.33837890625,0.0,404784.33837890625,0,-1.8083038330078125,0.4114888872595433
2023-03-06,404784.33837890625,0.0,404784.33837890625,0,0.8128662109375,1.4069573541007785
2023-03-07,404784.33837890625,0.0,404784.33837890625,0,-0.24956512451171875,1.017470647904295
2023-03-08,404784.33837890625,0.0,404784.33837890625,0,-0.23188018798828125,1.4793880679369706
2023-03-09,404784.33837890625,0.0,404784.33837890625,0,-0.48038482666015625,1.3028258604528293
2023-03-10,404784.33837890625,0.0,404784.33837890625,0,-0.6403045654296875,1.1096845942795388
2023-03-13,404784.33837890625,0.0,404784.33837890625,0,-1.8631515502929688,0.4819600923165325
2023-03-14,404784.33837890625,0.0,404784.33837890625,0,-1.4702072143554688,0.593714219559597
2023-03-15,404784.33837890625,0.0,404784.33837890625,0,-0.6629562377929688,0.9035002571427948
2023-03-16,404784.33837890625,0.0,404784.33837890625,0,-0.31806182861328125,0.9800934949242908
2023-03-17,404734.33837890625,-0.0,404734.33837890625,-1,2.0641860961914062,1.880176262557578
2023-03-20,404734.33837890625,-42119.598388671875,362614.7399902344,-1,2.9065780639648438,1.9226145671140369
2023-03-21,404734.33837890625,-81016.15905761719,323718.17932128906,-1,3.68450927734375,1.907788514543261
2023-03-22,404734.33837890625,-99478.1494140625,305256.18896484375,-1,4.053749084472656,1.7936125884963217
2023-03-23,404734.33837890625,-209813.69018554688,194920.64819335938,-1,6.260459899902344,2.2210459731150696
2023-03-24,404734.33837890625,-230861.66381835938,173872.67456054688,-1,6.681419372558594,2.047063352359053
2023-03-27,404734.33837890625,-87248.99291992188,317485.3454589844,-1,3.8091659545898438,1.0286063213630183
2023-03-28,404734.33837890625,-56175.994873046875,348558.3435058594,-1,3.1877059936523438,0.7499709484671595
2023-03-29,481115.9942626953,0.0,481115.9942626953,0,0.535552978515625,-0.2843778382144949
2023-03-30,481115.9942626953,0.0,481115.9942626953,0,-1.7114639282226562,-1.102175497949201
2023-03-31,481115.9942626953,0.0,481115.9942626953,0,-0.1783905029296875,-0.5737675172327129
2023-04-03,481115.9942626953,0.0,481115.9942626953,0,1.3278427124023438,-0.0028555632054771594
2023-04-04,481115.9942626953,0.0,481115.9942626953,0,0.1457061767578125,-0.4688472008987717
2023-04-05,481115.9942626953,0.0,481115.9942626953,0,2.7471923828125,0.48396867186000686
2023-04-06,481115.9942626953,0.0,481115.9942626953,0,5.713645935058594,1.4510822795637053
2023-04-10,481115.9942626953,0.0,481115.9942626953,0,3.6354522705078125,0.6063398786091285
2023-04-11,481115.9942626953,0.0,481115.9942626953,0,4.801948547363281,0.9557281725938435
2023-04-12,481115.9942626953,0.0,481115.9942626953,0,6.186180114746094,1.3642283786661793
2023-04-13,481115.9942626953,0.0,481115.9942626953,0,4.3895416259765625,0.5769451016173722
2023-04-14,481115.9942626953,0.0,481115.9942626953,0,5.710968017578125,1.024696964580459
2023-04-17,481115.9942626953,0.0,481115.9942626953,0,2.5982589721679688,-0.3098134182789871
2023-04-18,481115.9942626953,0.0,481115.9942626953,0,1.5770111083984375,-0.7078273641606058
2023-04-19,481115.9942626953,0.0,481115.9942626953,0,-0.7410812377929688,-1.4909933640143944
2023-04-20,481115.9942626953,0.0,481115.9942626953,0,0.8523178100585938,-0.7885615537582533
2023-04-21,481065.9942626953,0.0,481065.9942626953,1,-2.1783981323242188,-1.733384954280358
2023-04-24,481065.9942626953,65332.794189453125,546398.7884521484,1,-0.8717422485351562,-1.1446715709671322
2023-04-25,481065.9942626953,141964.34020996094,623030.3344726562,1,0.660888671875,-0.4915005156243428
2023-04-26,481065.9942626953,14505.767822265625,495571.76208496094,1,-1.8882827758789062,-1.3274613522641923
2023-04-27,481065.9942626953,-34650.80261230469,446415.1916503906,1,-2.8714141845703125,-1.5292865753781757
2023-04-28,652440.478515625,0.0,652440.478515625,0,1.250091552734375,-0.14273687810265037
2023-05-01,652440.478515625,0.0,652440.478515625,0,4.510917663574219,0.9432491386590853
2023-05-02,652440.478515625,0.0,652440.478515625,0,1.0621261596679688,-0.2871118028228162
2023-05-03,652440.478515625,0.0,652440.478515625,0,1.1315994262695312,-0.28224644702500934
